# GREAT version 4.0.4	Species assembly: hg38	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
peak0	PDZD8 (+33125), SLC18A2 (+101249)
peak3747	SLC16A12 (+4015), IFIT5 (+116955)
peak3748	TMEM179 (-60841), INF2 (-23813)
peak3749	COX17 (-267)
peak3750	SPNS3 (-37284), UBE2G1 (-29922)
peak3751	C1orf105 (-82398), DNM3 (+496790)
peak3752	MGAT5 (+181153), TMEM163 (+417665)
peak3753	RBM47 (-173893), NSUN7 (-61246)
peak3754	TCF7L2 (-414524), VTI1A (+88625)
peak3755	CMTM7 (+41374), CMTM6 (+70363)
peak3756	LRP2BP (+18804), SNX25 (+155957)
peak3757	CCR5 (-10585), CCR2 (+6525)
peak3758	MARCKSL1 (+14150), HDAC1 (+30143)
peak3759	ATXN10 (-42069), FBLN1 (+126839)
peak3760	GNE (-4031)
peak3761	VIL1 (+63726), USP37 (+85543)
peak3762	FKTN (-22161), FSD1L (+87867)
peak3763	POC1B-GALNT4 (-53424), ATP2B1 (+129209)
peak3764	STAB2 (-46723), ASCL1 (+582864)
peak3765	MMP9 (-3558)
peak3766	ARHGAP25 (+5916), BMP10 (+130766)
peak3767	SH3RF1 (-6)
peak3768	PAPLN (-95120), PSEN1 (+5930)
peak3769	MSN (+83192), VSIG4 (+289245)
peak3770	FOXN3 (+211043), TTC8 (+583934)
peak3771	PRKX (-25093)
peak3772	UBE2V2 (+271790), EFCAB1 (+455042)
peak3773	DNAJC6 (-78577), AK4 (+83138)
peak3774	MYL4 (-3385)
peak3775	WNK1 (-83655), NINJ2 (-5489)
peak3776	VEGFA (-45467), MRPS18A (-37449)
peak3777	NT5DC4 (-65494), SLC20A1 (+10135)
peak3778	CDC40 (+6034), METTL24 (+172097)
peak3779	EXOSC6 (-31930), AARS (+5683)
peak3780	C20orf24 (-23298), TGIF2-C20orf24 (+7971)
peak3781	CFL2 (-143199), BAZ1A (+17758)
peak3782	IL1RAP (+103241), GMNC (+245272)
peak3783	NPIPB3 (-160779), METTL9 (-33378)
peak3784	ATP2A2 (+32748), ANAPC7 (+89301)
peak3785	USP17L3 (-368718), PRAG1 (+39795)
peak3786	GDF10 (-280447), PTPN20 (+87516)
peak3787	WDR41 (+69143), PDE8B (+212572)
peak3788	TRABD2B (-205346), SLC5A9 (-20446)
peak3789	TENM1 (-331663), TEX13C (-24640)
peak3790	LMO7 (+162101)
peak3791	PHLPP1 (+223144), BCL2 (+381534)
peak3792	MOCS2 (+29290), ITGA2 (+91143)
peak3793	TBXAS1 (+105830), PARP12 (+179643)
peak3794	SACS (+89697), SGCG (+140864)
peak3795	HS6ST1 (-305607)
peak3796	GAP43 (+43836), LSAMP (+778185)
peak3797	OTOL1 (+273983)
peak3798	SNX30 (+20885), SLC46A2 (+119190)
peak3799	LYN (+93415), RPS20 (+101281)
peak3800	NTPCR (+18490), PCNX2 (+326599)
peak3801	BACH2 (+198448), GJA10 (+203825)
peak3802	KCNMB2 (-780776), TBL1XR1 (-581446)
peak3803	ACSM6 (+42409), PDLIM1 (+54415)
peak3804	CADM1 (+29)
peak3805	GRIA4 (+551)
peak3806	ADAM17 (-38773), YWHAQ (+36055)
peak3807	DRD2 (-210745), TMPRSS5 (+20239)
peak3808	STARD8 (-143278), YIPF6 (+6167)
peak3809	SLC1A2 (+27972), CD44 (+252096)
peak3810	CLYBL (-63697), TM9SF2 (+41555)
peak3811	NRN1 (+125108), FARS2 (+617892)
peak3812	BRCA2 (+66290), N4BP2L2 (+157121)
peak3813	ABHD12 (+44471), PYGB (+98443)
peak3814	PTPN12 (-109089), GSAP (-11786)
peak3815	CEBPD (+126385), SPIDR (+352126)
peak3816	MDM1 (-165545), RAP1B (-112962)
peak3817	PANK3 (-272485), SLIT3 (+448697)
peak3818	KDM5B (-53313), RABIF (+27404)
peak3819	ERBB4 (-430077), IKZF2 (+182685)
peak3820	SPTLC3 (-79653)
peak3821	NAMPT (-340628), CCDC71L (+35176)
peak3822	GNA14 (-172166), GNAQ (+210985)
peak3823	RPL35A (-9007), LRCH3 (+149706)
peak3824	GRHPR (-13315), ZCCHC7 (+288753)
peak3825	NDUFB9 (+89160), MTSS1 (+100010)
peak3826	FAXDC2 (+36975), LARP1 (+101029)
peak3827	TTC8 (+243242), FOXN3 (+551735)
peak3828	ZNF326 (-123974), LRRC8D (+50109)
peak3829	SPP2 (+50175), ARL4C (+395726)
peak3830	MCM10 (-53394), OPTN (+8012)
peak3831	SKP1 (-42534), ENSG00000272772 (+6499)
peak3832	LARP1 (+1846), FAXDC2 (+136158)
peak3833	GALNT18 (-164427), USP47 (-55634)
peak3834	MTMR2 (-339225), MAML2 (+79660)
peak3835	TBL1XR1 (-253382)
peak3836	EIF4EBP3 (-13617), ANKHD1-EIF4EBP3 (+132141)
peak3837	ASIC2 (-862547), CCL2 (-99750)
peak3838	CRACR2A (+48190), PRMT8 (+213676)
peak3839	NIM1K (-723)
peak3840	GFRA4 (+9949), ATRN (+182410)
peak3841	HDAC4 (+170123), TWIST2 (+382794)
peak3842	LOXL1 (+15632), STOML1 (+50258)
peak3843	ZNF184 (-22733), HIST1H2BL (+312080)
peak3844	LINGO1 (-412164), TBC1D2B (+32998)
peak3845	RGS6 (+131459), DPF3 (+828751)
peak3846	TM9SF3 (-2148)
peak3847	CDCA7 (-205110), MAP3K20 (+73792)
peak3848	NIPAL4 (-108782), FNDC9 (-5516)
peak3849	ZC3H12A (+19425), MEAF6 (+20786)
peak3850	TVP23A (+6042), NUBP1 (+68898)
peak3851	SRR (-157326), HIC1 (+90068)
peak3852	MYO5A (-30672), ARPP19 (+10161)
peak3853	AQP10 (-15934), HAX1 (+32671)
peak3854	CTSH (+34021), MORF4L1 (+38256)
peak3855	VSTM2L (-187914), CTNNBL1 (+21184)
peak3856	CLDN20 (-109612), TIAM2 (+321704)
peak3857	UBL7 (-641)
peak3858	ERMN (-93516), CYTIP (+22913)
peak3859	ANAPC10 (-27787), OTUD4 (+53352)
peak3860	ATF1 (-143510), DIP2B (+115675)
peak3861	CYP8B1 (-19211), ZNF662 (-10790)
peak3862	POMT2 (-48602), TMED8 (+7623)
peak3863	RNF19A (-134982), ANKRD46 (+121501)
peak3864	TCP11L1 (+24103), CSTF3 (+97945)
peak3865	UBAC2 (-174507), DOCK9 (-48277)
peak3866	ALG2 (+37224), TGFBR1 (+79582)
peak3867	HNRNPA3 (-273790), MTX2 (+669354)
peak3868	TPRG1 (-27135), LPP (+931906)
peak3869	UCP3 (-21723), C2CD3 (+139861)
peak3870	TRAK1 (+67282), CCK (+107855)
peak3871	LIMD1 (-49122), LARS2 (+157176)
peak3872	TBL1XR1 (-149854)
peak3873	UGCG (+13914), SUSD1 (+264587)
peak3874	ITGA4 (-188596), UBE2E3 (+288023)
peak3875	PPM1A (-61486), DHRS7 (-14410)
peak3876	SLC2A2 (-139372), TNIK (+294286)
peak3877	ALDH8A1 (-58694), HBS1L (+46082)
peak3878	HPCA (+6570), TMEM54 (+8353)
peak3879	ST3GAL1 (-182704), ZFAT (+958409)
peak3880	HELT (-167503), ACSL1 (-24520)
peak3881	IFI44 (+15157), ADGRL4 (+341730)
peak3882	POLR3K (+14545)
peak3883	CYLD (+22634), SALL1 (+385881)
peak3884	ATP8A1 (+49813), SHISA3 (+209453)
peak3885	INA (+349)
peak3886	GRK3 (-166155), CRYBB2 (+179172)
peak3887	VOPP1 (+55132), LANCL2 (+151945)
peak3888	FAM208A (-245890), ARHGEF3 (+150401)
peak3889	GPR19 (-21541), CDKN1B (-11062)
peak3890	SELENON (-95638), MAN1C1 (+87070)
peak3891	FBXO6 (+534)
peak3892	TNFSF18 (+143488), FASLG (+248457)
peak3893	AMFR (+53298), GNAO1 (+180457)
peak3894	RDH12 (+37458), ZFYVE26 (+77245)
peak3895	IL1R1 (-80077), IL1R2 (+70865)
peak3896	KLF11 (-49698), GRHL1 (+42159)
peak3897	ATXN7 (+36301), PSMD6 (+88772)
peak3898	SLC1A4 (-251102), SERTAD2 (-84386)
peak3899	NTMT1 (-242390), PTPA (+272445)
peak3900	GTDC1 (-84979), ZEB2 (+199676)
peak3901	DDX51 (+19345), EP400 (+164405)
peak3902	SPACA1 (-315824), AKIRIN2 (-29756)
peak3903	MCHR2 (-177547), SIM1 (+293159)
peak3904	GRAMD1B (-292175), CLMP (-38180)
peak3905	PTGIS (-74046), B4GALT5 (+71686)
peak3906	BCL11B (+339070)
peak3907	ST8SIA1 (-75018), C2CD5 (+134760)
peak3908	MADD (+32886), MYBPC3 (+50142)
peak3909	DSCAM (-254207), BACE2 (-66455)
peak3910	KLF7 (-251573), CREB1 (-112374)
peak3911	ZRSR1 (-4203)
peak3912	SCEL (-165789), MYCBP2 (-43292)
peak3913	IFIT3 (-25875), IFIT2 (+18325)
peak3914	CRB2 (+282080), DENND1A (+291767)
peak3915	RNF111 (-77851), SLTM (-19319)
peak3916	JARID2 (-315595), CD83 (+813060)
peak3917	ITGB1 (-294971), NRP1 (+83397)
peak3918	NFYC (-38806), RIMS3 (-34375)
peak3919	CREB1 (-277868), KLF7 (-86079)
peak3920	CENPS (-14882), PGD (+16481)
peak3921	BCL11B (+215370)
peak3922	RDH12 (+18404), ZFYVE26 (+96299)
peak3923	SNX19 (-700094), NTM (-294859)
peak3924	SLIRP (+6938), SNW1 (+46147)
peak3925	APPL2 (-837257), NUAK1 (+66693)
peak3926	ZNF446 (+12750), SLC27A5 (+23151)
peak3927	MAB21L2 (-458556), DCLK2 (+44338)
peak3928	PNPLA1 (+17371), ETV7 (+99952)
peak3929	CHRNA9 (-107884), RHOH (+30538)
peak3930	ACOX3 (+31042), HTRA3 (+139904)
peak3931	TP53BP2 (+14024), CAPN2 (+119616)
peak3932	LAMTOR3 (+38594), DAPP1 (+39050)
peak3933	NDUFAF1 (+7330), NUSAP1 (+62243)
peak3934	SLK (+50569), COL17A1 (+68232)
peak3935	COX7A2L (-51996), KCNG3 (+73091)
peak3936	SPARCL1 (+29561), NUDT9 (+77360)
peak3937	F3 (-178761), SLC44A3 (-99789)
peak3938	ITGA2B (-49327), GPATCH8 (+64569)
peak3939	SLC25A34 (-39179), PLEKHM2 (+12894)
peak3940	ATP8B4 (+54279), FGF7 (+641847)
peak3941	ARHGAP18 (-39671), TMEM244 (+111375)
peak3942	LIN28A (-32429), ZNF683 (-5574)
peak3943	IGFL1 (-20514), IGFL2 (+61456)
peak3944	STEAP1B (-194242), IL6 (-31144)
peak3945	GATA3 (+376746)
peak3946	GZMM (-83)
peak3947	TM9SF3 (-23934), PIK3AP1 (+109528)
peak3948	COL21A1 (-134242), DST (+469928)
peak3949	ADCY1 (-370220), RAMP3 (+46511)
peak3950	SLC45A4 (-35201), GPR20 (+77837)
peak3951	RRM1 (-145451), STIM1 (+93655)
peak3952	KCTD3 (+198)
peak3953	SETD7 (+27967), RAB33B (+75000)
peak3954	PIK3C3 (+71019)
peak3955	KLF12 (-926532), TBC1D4 (+560533)
peak3956	FAM151A (+18732), ACOT11 (+56596)
peak3957	DRP2 (-11378), CENPI (+107971)
peak3958	RYR2 (+232756), ZP4 (+615961)
peak3959	FAM19A3 (+74382), SLC16A1 (+161262)
peak3960	NR4A3 (-101024), SEC61B (+498530)
peak3961	TOPAZ1 (-9282), ABHD5 (+541734)
peak3962	TMEM97 (-234904), NLK (+42035)
peak3963	YPEL1 (-31479), MAPK1 (+100316)
peak3964	TNFSF8 (-143)
peak3965	IL1RAP (+21058), GMNC (+327455)
peak3966	CCDC68 (-395409), TCF4 (+281110)
peak3967	ZC2HC1A (-140118), PKIA (+9790)
peak3968	TRUB1 (-164867), ABLIM1 (-115028)
peak3969	RBM33 (+15947), SHH (+151647)
peak3970	OSBPL1A (-16624), IMPACT (-12133)
peak3971	ANKRD7 (+88432)
peak3972	MARVELD3 (-3919)
peak3973	COX11 (-248353), HLF (-47874)
peak3974	CAP1 (-36946), MFSD2A (+48137)
peak3975	STARD13 (-458308), RFC3 (-73986)
peak3976	IL1R1 (-59505), IL1R2 (+91437)
peak3977	CD96 (-242543), NECTIN3 (+227832)
peak3978	ETF1 (-22144), HSPA9 (+10000)
peak3979	CEP85L (-133784), ASF1A (-50361)
peak3980	SLC30A5 (-670289), PIK3R1 (+207637)
peak3981	PAG1 (-106571), FABP5 (-61724)
peak3982	LRRC8D (-168404), LRRC8C (+19556)
peak3983	NABP1 (-384324), MYO1B (+48819)
peak3984	RGCC (-259)
peak3985	LIFR (+141659), EGFLAM (+195336)
peak3986	OASL (+3)
peak3987	GADD45G (+394802), DIRAS2 (+643290)
peak3988	RBM34 (-116437), ARID4B (+49593)
peak3989	IFI44 (-62)
peak3990	SPPL2A (-113438), AP4E1 (-29427)
peak3991	SNX25 (-11954), SLC25A4 (+49042)
peak3992	ANGPTL1 (-149189), FAM20B (-5655)
peak3993	RIPK2 (-28313)
peak3994	ACOT9 (-2720)
peak3995	SPDYE5 (+103469), HIP1 (+141853)
peak3996	ACOX2 (-72820), FAM107A (+17471)
peak3997	CADM1 (-569524), BUD13 (+698899)
peak3998	ADAMTS6 (+291431), CWC27 (+421559)
peak3999	BTG1 (-252855), CLLU1 (-25207)
peak4000	SLK (+53020), COL17A1 (+65781)
peak4001	FAR2 (-596583), CCDC91 (+362171)
peak4002	TSPAN8 (-200483), THAP2 (-20628)
peak4003	NSMAF (-168040), TOX (+291634)
peak4004	KLHL38 (-18168), ANXA13 (+66284)
peak4005	GAP43 (+34998), LSAMP (+787023)
peak4006	GTDC1 (-122358), ZEB2 (+162297)
peak4007	AHSA2 (+86566), USP34 (+206674)
peak4008	CLSTN1 (+36637), PIK3CD (+136144)
peak4009	FEM1B (+74780), ITGA11 (+79579)
peak4010	GRM7 (+344954)
peak4011	OR5K3 (-29185), OR5K4 (+7627)
peak4012	NAMPT (-195267), CCDC71L (+180537)
peak4013	SLC5A1 (-84324), YWHAH (+14247)
peak4014	ZFHX3 (-158400)
peak4015	ETV7 (+29660), PNPLA1 (+87663)
peak4016	IARS2 (+67265), RAB3GAP2 (+111087)
peak4017	TMEM26 (-327106), ARID5B (-120744)
peak4018	ATXN7 (+53288), PSMD6 (+71785)
peak4019	FDX1 (-79983), RDX (-53188)
peak4020	ETV7 (+61)
peak4021	DUSP4 (-35503), SARAF (+697036)
peak4022	C5orf42 (+39832), NIPBL (+332837)
peak4023	PIK3R3 (+69811), MAST2 (+259218)
peak4024	CDK5RAP2 (-113244), MEGF9 (+21068)
peak4025	KDM5C (-38335), IQSEC2 (+57571)
peak4026	CYFIP2 (-18608), ITK (+66645)
peak4027	MTRNR2L5 (+32107), ZWINT (+729865)
peak4028	MGST2 (+193175), MAML3 (+295241)
peak4029	ITM2C (-116604), CAB39 (+35451)
peak4030	RGS6 (+162477), DPF3 (+797733)
peak4031	RUNX3 (-20259), SYF2 (+247224)
peak4032	NFE2L2 (-68440), AGPS (-59073)
peak4033	KITLG (-680979), DUSP6 (+91831)
peak4034	MBOAT1 (-153205), E2F3 (-36563)
peak4035	STXBP4 (-20245), TOM1L1 (+48007)
peak4036	DBH (+47274), SARDH (+56286)
peak4037	CDKL4 (-36787), MAP4K3 (+170993)
peak4038	WT1 (-131101), EIF3M (-17094)
peak4039	SELENOP (-154061), ANXA2R (+77030)
peak4040	TRAM1 (-5443), LACTB2 (+55345)
peak4041	DIMT1 (-9325), IPO11 (-5626)
peak4042	AP2M1 (-14257), DVL3 (+5210)
peak4043	TNS1 (-90775), RUFY4 (-34352)
peak4044	ST3GAL1 (-362526), ZFAT (+778587)
peak4045	TMEM163 (+95108), MGAT5 (+503710)
peak4046	ZPLD1 (-410546), NFKBIZ (+174955)
peak4047	EPB41L5 (+47631), TMEM185B (+162772)
peak4048	PDK3 (-290001), ZFX (+25731)
peak4049	GIMD1 (-463550), DKK2 (+205312)
peak4050	ELOA2 (-93839), HDHD2 (+21060)
peak4051	RNASEH2B (-808798), KCNRG (+85626)
peak4052	ADCY5 (-86985), HACD2 (+48442)
peak4053	RGN (-110691), JADE3 (+55231)
peak4054	SLC17A1 (-10670), SLC17A3 (+31514)
peak4055	PARD3 (+277525)
peak4056	EPYC (-28647), KERA (+24310)
peak4057	CFAP44 (+20211), BOC (+208775)
peak4058	ST3GAL1 (-661201), ZFAT (+479912)
peak4059	CHAC2 (-676476)
peak4060	CD180 (-873982), PIK3R1 (-144939)
peak4061	ADH7 (-40838), TRMT10A (+87696)
peak4062	SMC2 (-102357), CYLC2 (+996592)
peak4063	ATP2B1 (-320106), CCER1 (+926239)
peak4064	PIK3R1 (-949598), CD180 (-69323)
peak4065	CLIC4 (+72435), RUNX3 (+147218)
peak4066	CNOT4 (+120634), STRA8 (+157514)
peak4067	ITGB1 (-307935), NRP1 (+70433)
peak4068	NPAS3 (-606380), AKAP6 (+3664)
peak4069	HSFY2 (-238083), KDM5D (+733105)
peak4070	SFT2D3 (+36602), WDR33 (+73037)
peak4071	FAR2 (-82793), CCDC91 (+875961)
peak4072	SP3 (-30868), OLA1 (+252128)
peak4073	TAB2 (-43281), UST (+530443)
peak4074	CCDC68 (-446610), TCF4 (+229909)
peak4075	FTHL17 (-771316)
peak4076	KLF5 (-17527), PIBF1 (+259206)
peak4077	GATA3 (+672193)
peak4078	AMER2 (+24128), PABPC3 (+52291)
peak4079	STXBP5 (+63909)
peak4080	TSHB (-156685), SYCP1 (+18336)
peak4081	WDR5B (-52155), KPNA1 (+46722)
peak4082	MFSD14B (-95463), ZNF169 (+19777)
peak4083	UST (-34870), SASH1 (+369865)
peak4084	CACYBP (-550202), GPR52 (+1420)
peak4085	SLC7A1 (-196072), UBL3 (+58924)
peak4086	ACVR2A (-429715)
peak4087	CROT (+48582), ABCB4 (+81476)
peak4088	CITED1 (-42211), HDAC8 (+223742)
peak4089	SLC4A10 (+223657), DPP4 (+226459)
peak4090	TEKT2 (-95709), AGO3 (+57288)
peak4091	PABPC1L2A (-126970), NAP1L2 (+8366)
peak4092	CAT (-58074), ABTB2 (-22843)
peak4093	COL12A1 (+58339)
peak4094	ABCA13 (-40457), UPP1 (+42359)
peak4095	HSBP1 (-949345), CDH13 (+231533)
peak4096	MMS22L (-187432)
peak4097	ZNF804B (-329681), STEAP4 (-122796)
peak4098	PKN2 (+60186), GTF2B (+147210)
peak4099	NECAB3 (+40683), CBFA2T2 (+71360)
peak4100	SH2D1A (+151246), TENM1 (+466227)
peak4101	CTTNBP2 (-207679), LSM8 (-102846)
peak4102	KRTAP8-1 (-5760), KRTAP7-1 (+10747)
peak4103	ARHGAP15 (-184868), KYNU (+66948)
peak4104	PELI2 (-467178), KTN1 (+70880)
peak4105	EPS8L3 (-75418), CSF1 (-71188)
peak4106	FOCAD (+132589), HACD4 (+240738)
peak4107	RAB33A (+40967), ZNF280C (+56283)
peak4108	SLC6A15 (+69132)
peak4109	TCF12 (-112660), ZNF280D (-72374)
peak4110	CDK1 (-383708), ANK3 (-5016)
peak4111	POU1F1 (-621697), HTR1F (-92495)
peak4112	ZFP36L2 (-270345), THADA (+99020)
peak4113	PSKH2 (+112437), CA2 (+493408)
peak4114	HLX (+82715), DUSP10 (+780061)
peak4115	PLEKHO1 (-66811), VPS45 (+15857)
peak4116	IGFBPL1 (-606325), CNTNAP3 (+257366)
peak4117	CYP4V2 (-13405), TLR3 (+108963)
peak4118	CCL7 (-8358), CCL2 (+6578)
peak4119	TMEM131 (+15008), ZAP70 (+267323)
peak4120	EPHA7 (+378905)
peak4121	STIM2 (+315787)
peak4122	TBX18 (-660610), NT5E (-24962)
peak4123	DNAJC15 (+344941), ENOX1 (+418764)
peak4124	RLIM (+36240), SLC16A2 (+156916)
peak4125	SPACA1 (-239192), AKIRIN2 (-106388)
peak4126	FAM117B (-104882), BMPR2 (+153370)
peak4127	JRKL (+536123)
peak4128	HLX (+64194), DUSP10 (+798582)
peak4129	VPS54 (+41042), UGP2 (+136320)
peak4130	AMIGO2 (-494572), RPAP3 (+131624)
peak4131	ADGRA3 (-191561)
peak4132	PITPNB (-483576), TTC28 (+277090)
peak4133	PDZD2 (-15983), C5orf22 (+91161)
peak4134	SPIRE1 (+28594), PRELID3A (+221644)
peak4135	GALNT13 (-400760), RPRM (-64930)
peak4136	ATXN2 (+79545), SH2B3 (+114183)
peak4137	HS3ST4 (+274660)
peak4138	NONE
peak4139	NEBL (+402899), PLXDC2 (+678464)
peak4140	CCDC112 (-9413), FEM1C (+238650)
peak4141	ABI1 (+38570), PDSS1 (+124706)
peak4142	NPY (-328929), STK31 (+245092)
peak4143	CRIM1 (-231699)
peak4144	NFKBIA (-75787), INSM2 (-53509)
peak4145	CLCN4 (+200077), MID1 (+263573)
peak4146	NONE
peak4147	CELF2 (-148061)
peak4148	MRPL39 (+372486)
peak4149	PCDH18 (-578535), SLC7A11 (+131339)
peak4150	PCDH18 (-471010), SLC7A11 (+238864)
peak4151	FANCL (+38166), VRK2 (+295533)
peak4152	FOLR2 (-13422), FOLR1 (+13127)
peak4153	NOXRED1 (+22638), SAMD15 (+23285)
peak4154	BTBD9 (+284870), ZFAND3 (+535555)
peak4155	CEP83 (+80004), PLXNC1 (+231225)
peak4156	PHF14 (+146950), THSD7A (+711376)
peak4157	LRRN3 (+141666), IMMP2L (+329619)
peak4158	RGS6 (+373342), DPF3 (+586868)
peak4159	TOX (-511810), CA8 (+650394)
peak4160	HUWE1 (-43010), PHF8 (+318070)
peak4161	SKAP2 (-207049), HOXA1 (+24182)
peak4162	FRK (+35087)
peak4163	EMB (-165003), PARP8 (-60568)
peak4164	SMARCA2 (-516301), DMRT2 (+455290)
peak4165	RBM34 (-51728), ARID4B (+114302)
peak4166	HUWE1 (-84481), PHF8 (+276599)
peak4167	PDE6A (+15840), PPARGC1B (+198642)
peak4168	PLN (-62502), SLC35F1 (+578270)
peak4169	GLUD1 (-226788), MINPP1 (-183221)
peak4170	CXCL17 (-71632), CEACAM1 (+13829)
peak4171	ABRA (-383596), ANGPT1 (+344169)
peak4172	ENY2 (-114549), TRHR (+133154)
peak4173	MITF (+23262)
peak4174	SCFD2 (+233452), RASL11B (+270333)
peak4175	CPED1 (-21386), ING3 (+16542)
peak4176	STARD4 (+25584), CAMK4 (+262840)
peak4177	ANXA13 (-70514), FER1L6 (-44071)
peak4178	IL6ST (-796590), MAP3K1 (-23991)
peak4179	UBLCP1 (-45580), RNF145 (-7448)
peak4180	LMO4 (-249980), HS2ST1 (+163814)
peak4181	NUDT12 (+104146), C5orf30 (+199945)
peak4182	MAN1A1 (-495626)
peak4183	ABCE1 (-78363), HHIP (+373548)
peak4184	SCFD2 (+41050), RASL11B (+462735)
peak4185	TMTC2 (+273200)
peak4186	RHOBTB1 (-446880), TMEM26 (+62323)
peak4187	TBL1XR1 (-209015)
peak4188	PENK (-513012), IMPAD1 (+34802)
peak4189	BOD1L2 (-219085), WDR7 (+276592)
peak4190	NDUFA4 (+362120)
peak4191	TCF12 (-119806), ZNF280D (-65228)
peak4192	MEOX2 (-632345), ISPD (+102165)
peak4193	IL31RA (-93152), DDX4 (+20330)
peak4194	SMLR1 (-373957), TMEM200A (+16332)
peak4195	ADGRL3 (+581144)
peak4196	NXPH2 (-167809)
peak4197	SMLR1 (-263217), TMEM200A (+127072)
peak4198	HTN3 (-28886), STATH (+3639)
peak4199	SUCLG1 (+246654)
peak4200	TDRD7 (-44054), CCDC180 (+60237)
peak4201	KRBOX4 (-824907), CXorf36 (-421049)
peak4202	RLN1 (-24816), PLGRKT (+73189)
peak4203	NONE
peak4204	CHAC2 (-822127)
peak4205	PLA2G12A (-30744), CFI (+41230)
peak4206	IGSF11 (+261892)
peak4207	GSDMC (+727454)
peak4208	MYO5B (-45111), CFAP53 (+26318)
peak4209	GAP43 (+60011), LSAMP (+762010)
peak4210	PDHA2 (+507820)
peak4211	CTSV (-260366), CCDC180 (-7650)
peak4212	SLC9A7 (+82275), CHST7 (+103113)
peak4213	SERTM1 (+22)
peak4214	IL12RB2 (-32523), IL23R (+108441)
peak4215	GPHN (-278885), FUT8 (+817930)
peak4216	SOX5 (-651439), BCAT1 (+301933)
peak4217	ELL2 (-215428), PCSK1 (+255781)
peak4218	AKR1E2 (-644294), KLF6 (-396685)
peak4219	DIP2B (-27529), LARP4 (+76721)
peak4220	MAMLD1 (-395582), HSFX4 (+38192)
peak4221	CHAC2 (-761925)
peak4222	ITGA4 (-99036), UBE2E3 (+377583)
peak4223	PIAS1 (+60016), CALML4 (+90969)
peak4224	NR0B1 (+12520), MAGEB4 (+55026)
peak4225	NOC3L (+5612), PLCE1 (+326515)
peak4226	NONE
peak4227	NONE
peak4228	CD83 (-181997), RNF182 (+10777)
peak4229	CYP2C18 (-91564), HELLS (+46135)
peak4230	TNR (-359113), RFWD2 (+104610)
peak4231	EIF2S1 (-91837), MPP5 (+27051)
peak4232	TNRC6C (+58643), TMC6 (+64998)
peak4233	SAV1 (-94398), NIN (+68392)
peak4234	CHAC2 (-283196)
peak4235	PTGFR (-429662), GIPC2 (+15508)
peak4236	NOBOX (-135230), TPK1 (+290596)
peak4237	REP15 (-55742), PPFIBP1 (+116571)
peak4238	STK39 (+23623), B3GALT1 (+355570)
peak4239	FGF13 (+346304)
peak4240	ZRANB2 (-472214), NEGR1 (+729223)
peak4241	CDKL2 (+31956), C4orf26 (+42505)
peak4242	ZNF217 (-441738), BCAS1 (+35017)
peak4243	TTC30B (+70581), AGPS (+89789)
peak4244	B3GALT2 (-619855)
peak4245	DDX3Y (+223575), UTY (+352987)
peak4246	PHKB (+199125), ABCC12 (+486318)
peak4247	ZDHHC17 (-104833), OSBPL8 (-98946)
peak4248	YAF2 (-17434), ZCRB1 (+70435)
peak4249	FAM3D (-790409)
peak4250	SLC22A16 (-251920), CDK19 (+86755)
peak4251	RANBP2 (+115718), EDAR (+154173)
peak4252	RPAP2 (-95696), BTBD8 (+122933)
peak4253	GTDC1 (+148597), ARHGAP15 (+957829)
peak4254	BHLHE22 (-284299)
peak4255	XPNPEP1 (+717369)
peak4256	F5 (-7906), SELP (+35618)
peak4257	OXR1 (-997288), ZFPM2 (+131944)
peak4258	C12orf40 (+96593), SLC2A13 (+383083)
peak4259	COMMD8 (+148142), GABRB1 (+284217)
peak4260	RICTOR (-42078), FYB1 (+154180)
peak4261	SPG11 (+16366), EIF3J (+110241)
peak4262	NONE
peak4263	POF1B (-600746), CHM (+67099)
peak4264	CDK17 (+78356), ELK3 (+127822)
peak4265	DNAJB12 (-111057), MICU1 (+159899)
peak4266	FAM46A (-273978), IBTK (+221068)
peak4267	TBX19 (-6374), SFT2D2 (+48658)
peak4268	FAM3D (-213570)
peak4269	PMCH (-6390), IGF1 (+276365)
peak4270	WDR11 (+218045), FGFR2 (+529183)
peak4271	GPR26 (-378252), BUB3 (+133826)
peak4272	VPS13A (+127273), GNA14 (+343589)
peak4273	GALNT5 (-730204), GPD2 (+91953)
peak4274	COX6C (+91252), VPS13B (+789544)
peak4275	STAB2 (-535974), ASCL1 (+93613)
peak4276	GRAMD2B (+78267), ALDH7A1 (+157019)
peak4277	DIAPH3 (+472647)
peak4278	BLZF1 (+22534), CCDC181 (+36913)
peak4279	FOSL2 (-392326), RBKS (-109434)
peak4280	CCAR1 (-21684), TET1 (+138874)
peak4281	MAF (+444648)
peak4282	CTNNB1 (-641742), ZNF621 (+32812)
peak4283	CARD17 (-6227), CARD18 (+32068)
peak4284	CRYM (+19052), ANKS4B (+50334)
peak4285	NONE
peak4286	NAV3 (-530947), E2F7 (-234762)
peak4287	ELOVL5 (-158361), GCLC (+37589)
peak4288	SCN8A (-117150), SLC4A8 (+49315)
peak4289	KNTC1 (+17443), HCAR2 (+158652)
peak4290	DCSTAMP (-99080), RIMS2 (+739998)
peak4291	STK32B (+229565), EVC2 (+427560)
