# GREAT version 4.0.4	Species assembly: mm10	Association rule: Single nearest gene: 1000000 bp max extension, curated regulatory domains included
peak0	Hint3 (-37397)
peak5485	Acss1 (+914)
peak5486	Tnfsf14 (-15354)
peak5487	Gata3 (+931530)
peak5488	Tubb3 (+139)
peak5489	Uck2 (+43010)
peak5490	Jarid2 (-71193)
peak5491	Nhsl1 (-77799)
peak5492	Sema3e (+5738)
peak5493	Actr3 (+15393)
peak5494	Pdp1 (+51137)
peak5495	Atp6v1g3 (+69948)
peak5496	Insr (+74660)
peak5497	Fbxl3 (+12692)
peak5498	Slc9a9 (+673)
peak5499	Panx1 (+49729)
peak5500	Gtpbp1 (-127)
peak5501	Gpr25 (+5580)
peak5502	Mmaa (+8308)
peak5503	Stk17b (-160765)
peak5504	Golim4 (+46617)
peak5505	Antxr2 (+47386)
peak5506	Slc23a2 (+13574)
peak5507	Hlf (-82956)
peak5508	Mast4 (+102837)
peak5509	Tbc1d5 (-323445)
peak5510	5530401A14Rik (+49065)
peak5511	Lama5 (-7506)
peak5512	Coa7 (-8649)
peak5513	Pmaip1 (+12166)
peak5514	Ly75 (+642)
peak5515	Prkag2 (+127205)
peak5516	Mreg (-14097)
peak5517	Med13l (-95359)
peak5518	Fam105a (-103931)
peak5519	Inf2 (+272)
peak5520	Ak4 (-61876)
peak5521	Pdcl (+630)
peak5522	Igf2bp2 (+38866)
peak5523	Kcnrg (+241109)
peak5524	Fars2 (-30589)
peak5525	B4galt1 (+7299)
peak5526	Jarid2 (-410065)
peak5527	Tnfrsf18 (+5939)
peak5528	Nfatc1 (+100906)
peak5529	Galnt10 (+27819)
peak5530	Reep3 (+143553)
peak5531	Lbh (+90662)
peak5532	Bloc1s4 (+25822)
peak5533	Hrk (+2752)
peak5534	Pigf (+13957)
peak5535	Eea1 (+57656)
peak5536	Gtpbp2 (+2070)
peak5537	March8 (+43743)
peak5538	1500009C09Rik (-3640)
peak5539	Anapc4 (+31967)
peak5540	Atp10b (+23034)
peak5541	Bco1 (+25554)
peak5542	Nrip1 (-35800)
peak5543	Usp38 (+66312)
peak5544	Pnn (+19435)
peak5545	Foxn2 (-166299)
peak5546	Arpp21 (+1202)
peak5547	Atp5o (-33035)
peak5548	Cdkn2b (-61380)
peak5549	B3gnt7 (-67876)
peak5550	Fggy (-203291)
peak5551	Hdac11 (+63)
peak5552	Garem1 (-261)
peak5553	Nudt5 (-4046)
peak5554	Dnajb2 (+86)
peak5555	Atp13a3 (-924)
peak5556	Cnp (-615)
peak5557	Kcnc1 (-5740)
peak5558	Arl5c (-3285)
peak5559	Adrb2 (+15546)
peak5560	Tjp2 (-201)
peak5561	Erp27 (+19384)
peak5562	Vmp1 (+62472)
peak5563	S1pr1 (-84341)
peak5564	Zfp65 (-77)
peak5565	Lmnb1 (+6873)
peak5566	Glis1 (-8954)
peak5567	Aplp2 (-31798)
peak5568	Ezr (-33709)
peak5569	Edaradd (-21827)
peak5570	Dera (+89049)
peak5571	Cdk6 (-259518)
peak5572	Tet2 (+47265)
peak5573	Ywhaz (-34679)
peak5574	Exoc4 (+8527)
peak5575	Polr3a (-67)
peak5576	Ern1 (-57278)
peak5577	Pan3 (-11744)
peak5578	Atp10a (+19397)
peak5579	Gm5426 (+44325)
peak5580	Diras1 (+10444)
peak5581	Lpcat2 (-44)
peak5582	G0s2 (+8780)
peak5583	Prr5 (+11740)
peak5584	D1Ertd622e (+38608)
peak5585	Swap70 (-24604)
peak5586	Pdcd1lg2 (+20147)
peak5587	Rbm11 (+27011)
peak5588	Spaca3 (+74234)
peak5589	Ms4a4a (-19718)
peak5590	Mgarp (+7371)
peak5591	Preb (-1421)
peak5592	Enthd1 (-30433)
peak5593	Mpnd (+9366)
peak5594	Gm11639 (-24438)
peak5595	Arhgef10 (-72)
peak5596	Il20 (+8792)
peak5597	Ppif (-53614)
peak5598	Gpr146 (-6775)
peak5599	Rsad2 (-3760)
peak5600	Mgst2 (-24049)
peak5601	Grap2 (+15740)
peak5602	Ino80d (-6302)
peak5603	Slc16a6 (-22495)
peak5604	Slc37a3 (+35782)
peak5605	Crim1 (+45255)
peak5606	Tgtp1 (-1973)
peak5607	Neb (+19212)
peak5608	Dusp6 (-210)
peak5609	Apobec3 (+7899)
peak5610	A430078G23Rik (-37)
peak5611	Rsbn1l (-3925)
peak5612	Crebbp (+20308)
peak5613	Dnajb7 (-1653)
peak5614	Hfm1 (+72359)
peak5615	Tapbp (+362)
peak5616	Gse1 (+1038)
peak5617	Havcr2 (+7160)
peak5618	Sod1 (-5408)
peak5619	Il1rl1 (-26397)
peak5620	Diaph3 (+89626)
peak5621	Sik3 (+13826)
peak5622	Gpr34 (-79618)
peak5623	Ppa2 (+84596)
peak5624	Lyn (+22032)
peak5625	Eif3h (+128667)
peak5626	Rap1a (+10030)
peak5627	Golim4 (+46390)
peak5628	Edem3 (+47571)
peak5629	Asah2 (-120887)
peak5630	Cdc42 (-10333)
peak5631	Atxn7 (+387)
peak5632	Mbnl1 (+18404)
peak5633	Elmo1 (+44144)
peak5634	Cdh15 (+70247)
peak5635	Apobec3 (+788)
peak5636	Eif5a (-467)
peak5637	Tgoln1 (-43233)
peak5638	Exosc8 (+11406)
peak5639	BC017643 (+9)
peak5640	Tnrc6a (-15534)
peak5641	Cd82 (+37724)
peak5642	Cmklr1 (+58400)
peak5643	Rnf150 (-17045)
peak5644	Rmdn2 (-30531)
peak5645	Gpr62 (+617)
peak5646	Rbm38 (+33612)
peak5647	Btd (+28947)
peak5648	1700016K19Rik (-21670)
peak5649	Zfand3 (-25112)
peak5650	Fkbp2 (+756)
peak5651	Gpcpd1 (+61684)
peak5652	Map4k4 (+21685)
peak5653	B3galt2 (-540042)
peak5654	Ly86 (+58675)
peak5655	H2-M10.4 (+30680)
peak5656	Ppm1h (-99887)
peak5657	Ccdc82 (+76782)
peak5658	Rbms1 (-171059)
peak5659	Sp4 (-66154)
peak5660	Col6a2 (+186)
peak5661	Rrbp1 (+19083)
peak5662	Zfp746 (-74058)
peak5663	Klhdc8a (-26502)
peak5664	Rnase10 (-16635)
peak5665	Arid1b (+137756)
peak5666	Eif4g2 (-89183)
peak5667	Lpin2 (+52593)
peak5668	Atg5 (+31143)
peak5669	Ripor2 (+43785)
peak5670	Tmem37 (+18390)
peak5671	Cpt1a (+10925)
peak5672	Fryl (+56952)
peak5673	Echdc3 (-15)
peak5674	Gpr35 (-6845)
peak5675	Shisa8 (+25734)
peak5676	Rbbp6 (-14846)
peak5677	Noct (-28990)
peak5678	Irf2bp2 (-90126)
peak5679	Crybg3 (+33591)
peak5680	Myo16 (+384496)
peak5681	B4galt5 (-19468)
peak5682	Anks1 (+85360)
peak5683	Ppp6r1 (+11554)
peak5684	Prrg4 (+2054)
peak5685	Ripor3 (+12899)
peak5686	Pcgf5 (+16605)
peak5687	Synj2 (-6291)
peak5688	Crispld2 (-63)
peak5689	Arid5a (+1978)
peak5690	Etv6 (+31961)
peak5691	Clnk (-68450)
peak5692	Lhx9 (+56347)
peak5693	Slc39a14 (+10192)
peak5694	Sp110 (+72259)
peak5695	Tyrobp (-11278)
peak5696	Arfip1 (+35160)
peak5697	Ttc3 (-6586)
peak5698	Prkce (+145757)
peak5699	Clrn3 (+11315)
peak5700	Tspan3 (-97561)
peak5701	Pik3r1 (+89998)
peak5702	Elmo1 (+215740)
peak5703	Umad1 (+23951)
peak5704	Timp4 (-63780)
peak5705	Wdr19 (+18132)
peak5706	Fam50b (+9122)
peak5707	Dcn (-232312)
peak5708	Pard3 (+317444)
peak5709	Zfp36l2 (+7038)
peak5710	Pitx3 (-243)
peak5711	Nxf1 (+13884)
peak5712	Gimap3 (-14500)
peak5713	Itpr2 (-19701)
peak5714	Tmem43 (+15498)
peak5715	Gbp9 (+48031)
peak5716	Rnf144a (+13407)
peak5717	Prrg4 (+93)
peak5718	Peli1 (+29420)
peak5719	Scfd2 (+128892)
peak5720	Cebpb (+71373)
peak5721	Xbp1 (-10965)
peak5722	Map3k14 (-213)
peak5723	Zbtb14 (-918)
peak5724	Cdk19 (+88086)
peak5725	Socs2 (-25679)
peak5726	Lrch3 (+35816)
peak5727	Ywhaz (-24356)
peak5728	Cbx7 (+15776)
peak5729	Cpn2 (+76039)
peak5730	Ankrd44 (+2326)
peak5731	Klhl3 (+34709)
peak5732	Ksr1 (+74600)
peak5733	Sipa1l1 (+20536)
peak5734	St3gal6 (-22899)
peak5735	Rap1b (-64573)
peak5736	Sdhaf4 (+6177)
peak5737	Arrdc3 (+79525)
peak5738	Eps8 (+107795)
peak5739	Ldlrad4 (-35334)
peak5740	Slc39a10 (+417)
peak5741	Stk10 (+49671)
peak5742	Ripor2 (+1710)
peak5743	Ankrd28 (+61701)
peak5744	Bmp8a (-145996)
peak5745	NONE
peak5746	Ctbp2 (-70446)
peak5747	Dock10 (+196023)
peak5748	Babam2 (+101876)
peak5749	AI481877 (-10276)
peak5750	Ccdc80 (-23038)
peak5751	Slc45a3 (-7415)
peak5752	Sh3pxd2b (+1955)
peak5753	Ptpn13 (+93833)
peak5754	Zfp787 (-28)
peak5755	Gm20696 (-4250)
peak5756	Mvb12b (+9280)
peak5757	Cfap46 (-58)
peak5758	Gbp9 (+47679)
peak5759	Dclre1a (+164)
peak5760	Hs6st1 (-218499)
peak5761	Coq2 (+30887)
peak5762	Ssbp4 (-1239)
peak5763	Stard9 (-45876)
peak5764	Plekhf2 (-7745)
peak5765	Fto (+232313)
peak5766	Por (-19112)
peak5767	Tmsb4x (+156668)
peak5768	Trp53i11 (+5232)
peak5769	Usp20 (+79372)
peak5770	Rassf6 (-59200)
peak5771	Mon1b (-168961)
peak5772	Ikzf2 (+47501)
peak5773	Hivep3 (-1578)
peak5774	Saraf (+243108)
peak5775	Zfp217 (-128917)
peak5776	3425401B19Rik (-31674)
peak5777	Cox10 (-107758)
peak5778	Frmd4b (+13874)
peak5779	Phykpl (-7013)
peak5780	Trib2 (-277752)
peak5781	Isg20 (-832)
peak5782	Atf7ip (-19387)
peak5783	Mgme1 (-82648)
peak5784	Bcl2 (+132251)
peak5785	Casr (-9918)
peak5786	Ahctf1 (-25430)
peak5787	Hacd3 (+17500)
peak5788	Tbc1d5 (+180760)
peak5789	Chd9 (-33338)
peak5790	Btbd9 (+57189)
peak5791	Bahcc1 (+34995)
peak5792	Tusc3 (+39666)
peak5793	Ptger3 (+5265)
peak5794	Dus2 (-4100)
peak5795	Iqgap1 (-28937)
peak5796	Stoml1 (+27587)
peak5797	Zfp236 (+8521)
peak5798	Pstpip1 (+15261)
peak5799	Trim16 (-4545)
peak5800	Cuedc1 (+46566)
peak5801	Rras2 (+48644)
peak5802	Sod1 (-76470)
peak5803	Ppm1b (-980)
peak5804	Mxi1 (+3713)
peak5805	Rnf166 (+1673)
peak5806	Vps8 (-40891)
peak5807	Ahr (-156102)
peak5808	Tmem120b (+26334)
peak5809	Dusp6 (+178069)
peak5810	Map4k3 (-73484)
peak5811	Hif3a (+4187)
peak5812	Fyn (+1912)
peak5813	Lonrf1 (+67449)
peak5814	Acot7 (+10379)
peak5815	Raph1 (-34)
peak5816	Efnb2 (-61)
peak5817	Capn2 (-22844)
peak5818	Wnt5b (-118710)
peak5819	Celf2 (+164162)
peak5820	Trim59 (+3276)
peak5821	Akt2 (-17336)
peak5822	Prkd2 (+2675)
peak5823	Abcc4 (+47786)
peak5824	Sec14l1 (-5400)
peak5825	Apba1 (-122)
peak5826	Ddx19b (+4359)
peak5827	Dock10 (+30061)
peak5828	Jade2 (-26310)
peak5829	Rxra (+68081)
peak5830	Svop (+285)
peak5831	Col4a2 (-131159)
peak5832	Rapgef5 (+17743)
peak5833	Akap7 (+179866)
peak5834	Herpud2 (-9621)
peak5835	Foxs1 (-6869)
peak5836	6030458C11Rik (+23546)
peak5837	Cacna1c (+259100)
peak5838	H13 (-16648)
peak5839	Slc12a8 (+42122)
peak5840	Ralbp1 (-21471)
peak5841	Kri1 (-198)
peak5842	Cyth4 (+951)
peak5843	Ppp6r1 (+4972)
peak5844	9130230L23Rik (+12878)
peak5845	Tfeb (-16788)
peak5846	Ttll12 (-7672)
peak5847	Nhlrc2 (+375)
peak5848	Tppp3 (-2116)
peak5849	Plscr3 (-284)
peak5850	Nsmaf (+9009)
peak5851	Rnf38 (+10930)
peak5852	Triqk (-114861)
peak5853	Emsy (-21068)
peak5854	Mrpl45 (+6324)
peak5855	Cdkal1 (-47909)
peak5856	Ptgis (-52910)
peak5857	Ehf (-28668)
peak5858	Opa1 (+221266)
peak5859	Ncl (+498)
peak5860	Sufu (+50944)
peak5861	Slc2a9 (+77)
peak5862	Stk17b (+8469)
peak5863	Kdelr3 (-42)
peak5864	Mbnl1 (+102062)
peak5865	Rnf130 (-27975)
peak5866	Plxna1 (+107906)
peak5867	Mapkapk3 (+958)
peak5868	Agtpbp1 (+100977)
peak5869	Tmem131l (+17291)
peak5870	1110004E09Rik (+42502)
peak5871	Ldlrad4 (+115708)
peak5872	Syne3 (+15135)
peak5873	Khdc1b (+35837)
peak5874	Akirin2 (+758)
peak5875	Igtp (-9771)
peak5876	Rab4a (+1121)
peak5877	Cd274 (-104)
peak5878	Lfng (-10379)
peak5879	Cul3 (-22188)
peak5880	Tbc1d9 (-34021)
peak5881	Srpk2 (+19992)
peak5882	Olfr266 (-49532)
peak5883	Dcbld2 (-30461)
peak5884	Fbxo27 (-15800)
peak5885	Rcan3 (+17236)
peak5886	4933402J07Rik (+127178)
peak5887	Prkch (+114887)
peak5888	Ldhal6b (+163144)
peak5889	Sema3g (+4)
peak5890	Gdi2 (+7012)
peak5891	Nudt5 (-20151)
peak5892	Gm11214 (+18776)
peak5893	Srgn (-23663)
peak5894	Nvl (+5277)
peak5895	Lcorl (-68811)
peak5896	F2rl2 (+16330)
peak5897	Myc (+603553)
peak5898	Nfe2l3 (-302827)
peak5899	Fli1 (-67360)
peak5900	Aldh8a1 (+5834)
peak5901	Atp11b (-6869)
peak5902	Apbb2 (+58882)
peak5903	Slc12a8 (+73494)
peak5904	Sel1l (-454307)
peak5905	Frmd5 (+89838)
peak5906	Ahi1 (-199650)
peak5907	Rcbtb2 (-18580)
peak5908	Gpsm1 (+8197)
peak5909	Zfp831 (-29431)
peak5910	Ctsb (+8353)
peak5911	Vgll4 (+60524)
peak5912	Vgll4 (+46645)
peak5913	Ablim1 (+83472)
peak5914	Atp2a2 (-45114)
peak5915	Ccnd3 (+38439)
peak5916	Eya1 (-174152)
peak5917	Dynll2 (-15376)
peak5918	Pde4dip (+20472)
peak5919	Tmem54 (+7718)
peak5920	Ldhb (-7)
peak5921	Six5 (-684)
peak5922	Hnrnpab (+870)
peak5923	Lyrm9 (+3769)
peak5924	Cdkn2c (+1825)
peak5925	D5Ertd579e (-17239)
peak5926	Atxn10 (+53609)
peak5927	Rock2 (+25791)
peak5928	Ninj2 (+1223)
peak5929	Esam (-10419)
peak5930	Gfra2 (+642328)
peak5931	Nxnl2 (-31)
peak5932	Itga2 (+37166)
peak5933	Dennd2d (-36899)
peak5934	Tmc6 (+3334)
peak5935	Creb1 (+233)
peak5936	Trio (+24304)
peak5937	Tmed8 (+9674)
peak5938	Scimp (+8654)
peak5939	Ndufa9 (+37428)
peak5940	E230025N22Rik (+4369)
peak5941	Rpl34 (-164034)
peak5942	Upp1 (+8443)
peak5943	Ppp1r21 (-20859)
peak5944	Igf2bp2 (+55057)
peak5945	Pla2g2f (-4933)
peak5946	Slc12a7 (-26608)
peak5947	Arhgap26 (+56185)
peak5948	Pde6h (+13231)
peak5949	Rai1 (+9379)
peak5950	Cnot3 (-679)
peak5951	Snd1 (+129220)
peak5952	Sh3rf1 (+115979)
peak5953	Dock4 (+113342)
peak5954	Il33 (-33656)
peak5955	Plppr4 (+31165)
peak5956	Hc (+44876)
peak5957	Dusp10 (+237081)
peak5958	Jarid2 (-409792)
peak5959	Ankrd2 (-12811)
peak5960	Gse1 (+10677)
peak5961	Tex2 (+24952)
peak5962	Adgrg1 (-3658)
peak5963	Mgme1 (-73638)
peak5964	Tox (+27036)
peak5965	Snx9 (-39)
peak5966	Wwox (+362323)
peak5967	Vps45 (-11288)
peak5968	Abca1 (-36260)
peak5969	Atp10a (-27957)
peak5970	Dusp22 (+42628)
peak5971	Zfp329 (+15263)
peak5972	Uap1 (+14219)
peak5973	Rfpl4b (-63152)
peak5974	Lfng (-9884)
peak5975	Gsdma (-3593)
peak5976	Gstm6 (+4204)
peak5977	Sun1 (+14683)
peak5978	Trim2 (-85316)
peak5979	Sorl1 (+85215)
peak5980	Galm (-14260)
peak5981	Prima1 (+99210)
peak5982	Mdh1 (+19898)
peak5983	Tnfrsf25 (+356)
peak5984	Polr3e (+872)
peak5985	Tbc1d10c (+5899)
peak5986	Dip2c (+48634)
peak5987	Ret (-62660)
peak5988	Med15 (+29659)
peak5989	Bad (+11047)
peak5990	Mfsd6 (+18545)
peak5991	Usp47 (-47012)
peak5992	Bcl2l14 (-31583)
peak5993	4930539E08Rik (+5965)
peak5994	Kcna2 (-1475)
peak5995	Ptma (-22193)
peak5996	Krba1 (-36826)
peak5997	Hif1a (-56895)
peak5998	Smim23 (-127831)
peak5999	Ldlrad3 (-30)
peak6000	Wdr59 (+12597)
peak6001	Khdrbs1 (-29428)
peak6002	Rab1a (+10508)
peak6003	Dhrs7 (-9667)
peak6004	Col13a1 (-1508)
peak6005	Fam163a (-12536)
peak6006	Fbxo28 (+6724)
peak6007	Rplp1 (+54841)
peak6008	Rap1gap2 (+42638)
peak6009	Zfp503 (+58123)
peak6010	Smarca2 (+2378)
peak6011	Slc6a6 (+42782)
peak6012	Prmt3 (+65370)
peak6013	Fam213a (+8087)
peak6014	Tle3 (-95575)
peak6015	Bzw1 (-18581)
peak6016	Trak1 (+52984)
peak6017	Rplp1 (+21371)
peak6018	Chd2 (+38169)
peak6019	Txnrd1 (-21678)
peak6020	Cdc42se2 (+31384)
peak6021	Polr2j (-7972)
peak6022	Nr1d1 (+12105)
peak6023	Xxylt1 (+46031)
peak6024	Eif4a2 (-358)
peak6025	Cpm (-1846)
peak6026	Atp2b1 (-30243)
peak6027	Sp110 (+4)
peak6028	Raver1 (-14420)
peak6029	Arrdc3 (+88424)
peak6030	Arhgap26 (+157514)
peak6031	Ube2e2 (+114616)
peak6032	Acbd6 (+89635)
peak6033	Foxo3 (+16012)
peak6034	Hmga2 (-100688)
peak6035	N6amt1 (-5791)
peak6036	Rnf5 (-35)
peak6037	Atp2b1 (-73175)
peak6038	Rmi1 (+48700)
peak6039	Clec3a (-6377)
peak6040	Myc (+817616)
peak6041	Ap1s3 (+111320)
peak6042	Gbp10 (-23918)
peak6043	Prdm2 (-6905)
peak6044	Noct (-95470)
peak6045	Cxcl1 (-6197)
peak6046	Pla2g4a (-54193)
peak6047	Cdkn3 (+11519)
peak6048	Elovl6 (-62150)
peak6049	Amd1 (+1201)
peak6050	Slc3a2 (+9942)
peak6051	Dock2 (+3)
peak6052	Stim1 (+47893)
peak6053	Asic3 (+2602)
peak6054	Gch1 (+23499)
peak6055	Bach2 (+1133)
peak6056	Fgd3 (+14917)
peak6057	Tnfsf11 (-12417)
peak6058	Fam220a (+13024)
peak6059	Eif2b2 (+8490)
peak6060	Prdm1 (-150700)
peak6061	Htr1d (+10675)
peak6062	Paqr3 (+21343)
peak6063	Tmsb10 (-4410)
peak6064	Hif1a (-3549)
peak6065	Uaca (+222298)
peak6066	Rcbtb2 (+35548)
peak6067	Ppp1r16b (+12781)
peak6068	Mbnl1 (-28618)
peak6069	Ubash3b (+39785)
peak6070	Camkk1 (+559)
peak6071	Cd200r1 (-9)
peak6072	Fem1b (+244)
peak6073	Zfp386 (-992430)
peak6074	Bard1 (+46842)
peak6075	Edn2 (+27550)
peak6076	Rps6kb1 (+10912)
peak6077	Ncf4 (+23241)
peak6078	Pnn (+18315)
peak6079	Gtf3a (-31685)
peak6080	Capsl (+33833)
peak6081	Ttc39b (-19753)
peak6082	Acvr2b (-44)
peak6083	Slco3a1 (-129576)
peak6084	Focad (+84867)
peak6085	Lyzl1 (-90297)
peak6086	Hic2 (+15775)
peak6087	Rgag4 (+10079)
peak6088	Slc22a16 (-107971)
peak6089	Ugcg (+25487)
peak6090	Vps54 (-47255)
peak6091	Nfe2l3 (-144769)
peak6092	Ankrd9 (+14495)
peak6093	Sh2d4b (-9609)
peak6094	Socs1 (+108635)
peak6095	Synj2 (+42111)
peak6096	Rnf41 (+10837)
peak6097	Rbms1 (+16795)
peak6098	Fam69c (+7343)
peak6099	Diaph1 (+7401)
peak6100	Ccnl1 (+28609)
peak6101	Creb5 (+161107)
peak6102	Kcnrg (+249397)
peak6103	Virma (-30756)
peak6104	Gfod1 (+64043)
peak6105	Mnt (+7627)
peak6106	Zbtb20 (-32509)
peak6107	Dynlt1c (-3015)
peak6108	Dtwd2 (+33774)
peak6109	4931440F15Rik (-54147)
peak6110	Ryk (+25175)
peak6111	Slc39a10 (+38648)
peak6112	Rapgef6 (+105584)
peak6113	Ogdh (+41104)
peak6114	Rnf144a (+542351)
peak6115	Samsn1 (-176937)
peak6116	Lysmd2 (+19906)
peak6117	Eps8l3 (-53835)
peak6118	Gpr161 (+26754)
peak6119	Eaf2 (+6579)
peak6120	Wfdc21 (-9511)
peak6121	Znrf4 (+5219)
peak6122	Mst1 (+2901)
peak6123	Gpcpd1 (+65655)
peak6124	Rasa3 (+52580)
peak6125	Pgs1 (+28288)
peak6126	Jak2 (-527)
peak6127	Odf2 (+580)
peak6128	Atp6v0b (+3)
peak6129	Pgf (-15555)
peak6130	Zfp608 (+19113)
peak6131	Dagla (+25008)
peak6132	Foxp1 (+235969)
peak6133	Tasp1 (+6472)
peak6134	Lrch1 (+29182)
peak6135	Kit (-54170)
peak6136	Cldn10 (-20298)
peak6137	Ezh2 (-26260)
peak6138	Bsn (+26537)
peak6139	Trib2 (+108916)
peak6140	Myc (+861048)
peak6141	Cdkn2a (+36651)
peak6142	Ivd (-19975)
peak6143	Zfp407 (+220489)
peak6144	Fam155a (+537637)
peak6145	Ccdc71l (+63523)
peak6146	Rnf152 (-65)
peak6147	Pecam1 (+49856)
peak6148	Slc36a1 (-6306)
peak6149	Zbtb10 (-96178)
peak6150	Nlrc5 (-20622)
peak6151	Chd7 (+221950)
peak6152	Lgals3bp (+85)
peak6153	Eed (-61540)
peak6154	Nfkbid (-988)
peak6155	Fnbp1l (+98141)
peak6156	Prss35 (-6224)
peak6157	Prss51 (-3444)
peak6158	Abca1 (+1084)
peak6159	Timp3 (-49102)
peak6160	Sncb (+8087)
peak6161	Chac1 (-99)
peak6162	Socs1 (+250)
peak6163	H2-K1 (+21506)
peak6164	Fgl2 (+2265)
peak6165	Dand5 (-2927)
peak6166	Chrna9 (-45367)
peak6167	Retreg1 (+48489)
peak6168	Arap2 (+5998)
peak6169	Slc11a1 (+6463)
peak6170	Rap1b (-72738)
peak6171	Lrrfip1 (+9178)
peak6172	Sp4 (-75908)
peak6173	Ifi213 (-140)
peak6174	Muc3 (-3027)
peak6175	Gal (-56952)
peak6176	Ndst3 (+64)
peak6177	Pla2g12b (-23556)
peak6178	Kcna3 (-61533)
peak6179	Sf3a1 (+4546)
peak6180	Prox2 (+45763)
peak6181	Arsb (+127039)
peak6182	Arid2 (-10341)
peak6183	Tmem45a (+42939)
peak6184	Uhrf2 (+20303)
peak6185	Tecta (+50326)
peak6186	Chic2 (+140812)
peak6187	Foxp1 (+533874)
peak6188	Ppm1b (-35845)
peak6189	Gpr119 (+47)
peak6190	Ets1 (+364435)
peak6191	Klf6 (+31366)
peak6192	Mrpl14 (+17157)
peak6193	Prnd (-14902)
peak6194	Aak1 (+35291)
peak6195	Pex26 (-4428)
peak6196	Timm8a2 (-33780)
peak6197	Sh3kbp1 (+50563)
peak6198	Itgb2 (+52)
peak6199	Itga4 (-238)
peak6200	Tnfaip3 (-47354)
peak6201	Rnf19b (-24572)
peak6202	Dhx34 (+20680)
peak6203	Bahcc1 (-197)
peak6204	Hist1h2bl (+5092)
peak6205	Acod1 (+1745)
peak6206	Glipr2 (-20168)
peak6207	Neb (+33770)
peak6208	Ehf (+31554)
peak6209	Myc (+237576)
peak6210	Pik3cg (-84346)
peak6211	Orm1 (-1019)
peak6212	Mbd2 (+64063)
peak6213	Zfhx4 (-310715)
peak6214	Cox10 (-154247)
peak6215	Uhrf1bp1l (+128309)
peak6216	Lyzl1 (-181436)
peak6217	Dynlrb2 (+47442)
peak6218	Samsn1 (-173406)
peak6219	Eif3j2 (-15335)
peak6220	Chn2 (-18292)
peak6221	Ctsc (-71236)
peak6222	Rpp14 (+8571)
peak6223	Asah2 (+85432)
peak6224	Gm9573 (-2140)
peak6225	Mlxip (+3172)
peak6226	Itgal (-10982)
peak6227	Klhl9 (+8027)
peak6228	Stard6 (-81094)
peak6229	Fmnl1 (+4000)
peak6230	Cytip (+19626)
peak6231	Slc2a4 (-96)
peak6232	Prss2 (+13158)
peak6233	Furin (-24802)
peak6234	Ttyh3 (+12222)
peak6235	Zfp949 (+294)
peak6236	Stx1a (+1601)
peak6237	Acvr1b (+15984)
peak6238	Gm4450 (+29361)
peak6239	Bcar1 (+17525)
peak6240	Nrip3 (+356)
peak6241	Jade2 (-23548)
peak6242	Smad3 (+41640)
peak6243	Il13 (-20621)
peak6244	Xxylt1 (+41390)
peak6245	Maf (-119)
peak6246	Kif5b (-44475)
peak6247	Fam102a (-22471)
peak6248	Lsm14a (+1067)
peak6249	Slc7a8 (+3806)
peak6250	Fosl1 (+1102)
peak6251	Slc22a4 (+10393)
peak6252	Cdsn (+4903)
peak6253	Cacna1b (-13289)
peak6254	Rims2 (+34533)
peak6255	Dmxl2 (-119)
peak6256	Vav1 (+37045)
peak6257	Spaca3 (+81447)
peak6258	Arrdc3 (+57572)
peak6259	Vpreb2 (-11265)
peak6260	Magohb (+16689)
peak6261	Tmem64 (+51672)
peak6262	Rrn3 (+15997)
peak6263	3110018I06Rik (+8532)
peak6264	Spata13 (-92865)
peak6265	Dhrs3 (-14372)
peak6266	Ankrd35 (+9472)
peak6267	Celf6 (+56)
peak6268	Aggf1 (+16871)
peak6269	Eif4g2 (-82426)
peak6270	Fgf23 (+7428)
peak6271	Ccdc12 (+20386)
peak6272	Zfp541 (-4481)
peak6273	Asah2 (-135940)
peak6274	Elmo1 (+94598)
peak6275	Usp31 (+46314)
peak6276	Scfd1 (+51696)
peak6277	Hnrnpr (+9285)
peak6278	Suds3 (+46429)
peak6279	Mkln1 (-214017)
peak6280	Pomc (-63752)
peak6281	Fnbp4 (+585)
peak6282	Psmb8 (+536)
peak6283	Ndufa10 (+19634)
peak6284	Synj1 (+13303)
peak6285	Rexo2 (+36519)
peak6286	Nudt6 (+298)
peak6287	Zc3h12a (-148)
peak6288	Slc12a7 (+9087)
peak6289	Ptpn2 (+24938)
peak6290	Myl1 (-42565)
peak6291	Pitrm1 (-295890)
peak6292	Ccdc112 (-25275)
peak6293	Lhx9 (+19932)
peak6294	Klf14 (-126454)
peak6295	Igsf8 (-6015)
peak6296	Rtkn2 (+56942)
peak6297	Lef1 (+2731)
peak6298	Glipr2 (-20402)
peak6299	Rpl11 (-35788)
peak6300	Klf9 (-5398)
peak6301	Gm8973 (-13346)
peak6302	Hacd4 (-10288)
peak6303	Mefv (+11221)
peak6304	Dennd4a (+64459)
peak6305	Arhgap22 (+86982)
peak6306	Fam19a2 (+874668)
peak6307	Pls1 (+30079)
peak6308	Siah1a (-62004)
peak6309	Tmbim6 (+7967)
peak6310	Cds2 (+6305)
peak6311	Pik3ca (-8294)
peak6312	Elmo1 (+216027)
peak6313	Rab7b (+2948)
peak6314	Fam69c (+19443)
peak6315	Selenof (+34764)
peak6316	Fam160b1 (-5138)
peak6317	Fyb (-5049)
peak6318	Eva1b (-15780)
